"i","f_MHz","ms","R","X"
"0","14","39.8","75.032","-43.679"
"1","14.0071","22.6","75.113","-42.964"
"2","14.0143","20.7","75.194","-42.249"
"3","14.0214","21.8","75.275","-41.534"
"4","14.0286","24","75.356","-40.816"
"5","14.0357","41.9","75.437","-40.101"
"6","14.0429","37","75.518","-39.386"
"7","14.05","39.2","75.6","-38.671"
"8","14.0571","24.1","75.681","-37.952"
"9","14.0643","31.3","75.762","-37.237"
"10","14.0714","26.2","75.844","-36.522"
"11","14.0786","34.2","75.925","-35.806"
"12","14.0857","30.9","76.006","-35.088"
"13","14.0929","31.7","76.088","-34.372"
"14","14.1","29.9","76.17","-33.656"
"15","14.1071","21.1","76.252","-32.94"
"16","14.1143","23.3","76.333","-32.221"
"17","14.1214","21.3","76.415","-31.505"
"18","14.1286","22.3","76.497","-30.789"
"19","14.1357","21","76.579","-30.073"
"20","14.1429","34","76.661","-29.354"
"21","14.15","24.6","76.743","-28.638"
"22","14.1571","36.9","76.825","-27.921"
"23","14.1643","24.3","76.907","-27.205"
"24","14.1714","30.2","76.989","-26.485"
"25","14.1786","21.5","77.072","-25.768"
"26","14.1857","31.4","77.154","-25.051"
"27","14.1929","34.3","77.237","-24.335"
"28","14.2","35.1","77.319","-23.614"
"29","14.2071","28.8","77.402","-22.897"
"30","14.2143","31.4","77.484","-22.18"
"31","14.2214","23.2","77.567","-21.463"
"32","14.2286","21.5","77.65","-20.742"
"33","14.2357","24","77.733","-20.025"
"34","14.2429","27.7","77.816","-19.307"
"35","14.25","23.1","77.899","-18.59"
"36","14.2571","31.7","77.982","-17.869"
"37","14.2643","21.3","78.065","-17.151"
"38","14.2714","23.5","78.148","-16.433"
"39","14.2786","26.1","78.231","-15.715"
"40","14.2857","25.5","78.315","-14.993"
"41","14.2929","46.2","78.398","-14.275"
"42","14.3","50.7","78.482","-13.557"
"43","14.3071","37.5","78.565","-12.838"
"44","14.3143","35.4","78.649","-12.116"
"45","14.3214","38","78.732","-11.397"
"46","14.3286","31.3","78.816","-10.678"
"47","14.3357","53.4","78.9","-9.9592"
"48","14.3429","56.6","78.984","-9.2367"
"49","14.35","35.5","79.068","-8.5174"
